FILM;ID ACTEUR;PERSONNAGE;
tt1622696;nm0564724;Professor Paradox;
tt1622696;nm0048389;Big Chill;
tt1622696;nm2275975;Julie Yamamoto;
tt1622696;nm0001664;Vilgax;
tt1622696;nm0071818;Azmuth;
tt1622696;nm0000696;Darkstar;
tt1622696;nm0484460;Natalie Tennyson;
tt1622696;nm0251646;Max Tennyson;
tt1622696;nm0667326;Rhomboid Vreedle;
tt1622696;nm0719115;Sir George;
tt1622696;nm0579914;Jimmy Jones;
tt1622696;nm0424534;Gwen Tennyson;
tt0810922;nm2036142;Beth;
tt0810922;nm0388064;Bryce;
tt0810922;nm1954240;Tori Frederking;
tt0810922;nm1336595;Carlos;
