ID IMDB;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL
nm1296223;David Maldonado;;;/name/nm1296223?ref_=tt_cl_t_18
nm0388064;Edwin Hodge;26/01/1985;Onslow County, North Carolina, USA;/name/nm0388064?ref_=tt_cl_t_7
nm0799777;J.K. Simmons;09/01/1955;Grosse Pointe, Michigan, USA;/name/nm0799777?ref_=tt_cl_t_3
nm5469428;Keith Powers;22/08/1992;Sacramento, California, USA;/name/nm5469428?ref_=tt_cl_t_9
nm3931538;Sam Richardson;12/01/1984;Detroit, Michigan, USA;/name/nm3931538?ref_=tt_cl_t_5
nm2088803;Yvonne Strahovski;30/07/1982;Maroubra, Sydney, New South Wales, Australia;/name/nm2088803?ref_=tt_cl_t_2
nm2081175;Mike Mitchell;;;/name/nm2081175?ref_=tt_cl_t_11
nm2437267;Seychelle Gabriel;25/03/1991;Burbank, California, USA;/name/nm2437267?ref_=tt_cl_t_15
nm7852347;Alan Trong;;;/name/nm7852347?ref_=tt_cl_t_16
nm8567129;Jasmine Mathews;;;/name/nm8567129?ref_=tt_cl_t_6
nm8740834;Ryan Kiera Armstrong;10/03/2010;New York, USA;/name/nm8740834?ref_=tt_cl_t_8
nm0707476;Mary Lynn Rajskub;22/06/1971;Detroit, Michigan, USA;/name/nm0707476?ref_=tt_cl_t_10
nm9858049;Chibuikem Uche;;;/name/nm9858049?ref_=tt_cl_t_17
nm2107704;Rose Bianco;;;/name/nm2107704?ref_=tt_cl_t_14
nm2365811;Betty Gilpin;21/07/1986;New York City, New York, USA;/name/nm2365811?ref_=tt_cl_t_4
nm4043618;Tom Holland;01/06/1996;Kingston upon Thames, England, UK;/name/nm4043618?ref_=tt_cl_t_1
nm0000506;Julia Louis-Dreyfus;13/01/1961;New York City, New York, USA;/name/nm0000506?ref_=tt_cl_t_3
nm6144523;George Psarras;;;/name/nm6144523?ref_=tt_cl_t_12
nm0217221;Grey Griffin;24/08/1973;Fort Ord, California, USA;/name/nm0217221?ref_=tt_cl_t_9
nm0735440;Mel Rodriguez;12/06/1973;Miami, Florida, USA;/name/nm0735440?ref_=tt_cl_t_5
nm4399227;Ali Wong;19/04/1982;San Francisco, California, USA;/name/nm4399227?ref_=tt_cl_t_8
nm0001652;John Ratzenberger;06/04/1947;Bridgeport, Connecticut, USA;/name/nm0001652?ref_=tt_cl_t_13
nm1531180;Kyle Bornheimer;10/09/1975;Mishawaka, Indiana, USA;/name/nm1531180?ref_=tt_cl_t_6
nm2913119;Lena Waithe;17/05/1984;Chicago, Illinois, USA;/name/nm2913119?ref_=tt_cl_t_7
nm0818055;Octavia Spencer;25/05/1970;Montgomery, Alabama, USA;/name/nm0818055?ref_=tt_cl_t_4
nm0005519;Wilmer Valderrama;30/01/1980;Miami, Florida, USA;/name/nm0005519?ref_=tt_cl_t_11
nm0001808;Tracey Ullman;30/12/1959;Slough, Berkshire, England, UK;/name/nm0001808?ref_=tt_cl_t_10
nm0000332;Don Cheadle;29/11/1964;Kansas City, Missouri, USA;/name/nm0000332?ref_=tt_cl_t_7
nm1569276;Chadwick Boseman;29/11/1976;Anderson, South Carolina, USA;/name/nm1569276?ref_=tt_cl_t_10
nm0000623;Rene Russo;17/02/1954;Burbank, California, USA;/name/nm0000623?ref_=tt_cl_t_17
nm0647634;Elizabeth Olsen;16/02/1989;Los Angeles, California, USA;/name/nm0647634?ref_=tt_cl_t_18
nm0424060;Scarlett Johansson;22/11/1984;Manhattan, New York City, New York, USA;/name/nm0424060?ref_=tt_cl_t_5
nm0749263;Mark Ruffalo;22/11/1967;Kenosha, Wisconsin, USA;/name/nm0749263?ref_=tt_cl_t_3
nm0719637;Jeremy Renner;07/01/1971;Modesto, California, USA;/name/nm0719637?ref_=tt_cl_t_6
nm0000375;Robert Downey Jr.;04/04/1965;Manhattan, New York City, New York, USA;/name/nm0000375?ref_=tt_cl_t_1
nm1431940;Evangeline Lilly;03/08/1979;Fort Saskatchewan, Alberta, Canada;/name/nm1431940?ref_=tt_cl_t_15
nm0748620;Paul Rudd;06/04/1969;Passaic, New Jersey, USA;/name/nm0748620?ref_=tt_cl_t_8
nm0262635;Chris Evans;13/06/1981;Boston, Massachusetts, USA;/name/nm0262635?ref_=tt_cl_t_2
nm0488953;Brie Larson;01/10/1989;Sacramento, California, USA;/name/nm0488953?ref_=tt_cl_t_11
nm1212722;Benedict Cumberbatch;19/07/1976;Hammersmith, London, England, UK;/name/nm1212722?ref_=tt_cl_t_9
