ID IMDB;NOM;ANNEE;RATING;URL;LIEU TOURNAGE;GENRES;LANGUE;RESUME;PAYS;
tt11286314;Don't Look Up: Déni cosmique;2021;7.2;/title/tt11286314/?ref_=nm_flmg_t_2_act; USA, Massachusetts,Boston;Comedy,Drama,Sci-Fi;English;Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.;United States
tt7131622;Once Upon a Time... in Hollywood;2019;7.6;/title/tt7131622/?ref_=nm_flmg_t_3_act; USA, California, Ray Corrigan Ranch  Simi Valley;Comedy,Drama;English;A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.;United States
tt10199110;Lil Dicky: Earth;2019;6.1;/title/tt10199110/?ref_=nm_flmg_t_4_act;;Animation,Short,Comedy;English;Lil Dicky leads an all-star cast with top-artists in his new music video, "Earth" which really supports nature.;United States
tt1663202;The Revenant;2015;8.0;/title/tt1663202/?ref_=nm_flmg_t_5_act; Argentina, Tierra del Fuego,Ushuaia;Action,Adventure,Drama;English;A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.;Hong Kong
tt4016250;The Audition;2015;6.6;/title/tt4016250/?ref_=nm_flmg_t_6_act; USA, New York,New York City;Short,Comedy;English;Robert De Niro and Leonardo DiCaprio must compete for the lead role in Martin Scorsese's next film.;Macao
tt0993846;Le loup de Wall Street;2013;8.2;/title/tt0993846/?ref_=nm_flmg_t_7_act; Italy, Liguria,Portofino  Genoa;Biography,Comedy,Crime;English;Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.;United States
tt1343092;Gatsby le magnifique;2013;7.2;/title/tt1343092/?ref_=nm_flmg_t_8_act; Australia, New South Wales,Centennial Park  Sydney;Drama,Romance;English;A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age.;Australia
tt15739482;Titanic: Deleted Scenes;2012;8.5;/title/tt15739482/?ref_=nm_flmg_t_9_act;;Short,Drama,Romance;English;Deleted scenes cut from James Cameron's blockbuster Titanic (1997).;United States
tt1853728;Django Unchained;2012;8.5;/title/tt1853728/?ref_=nm_flmg_t_10_act; USA, Louisiana, 4677 Highway 18  Edgard;Drama,Western;English;With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.;United States
tt1616195;J. Edgar;2011;6.5;/title/tt1616195/?ref_=nm_flmg_t_11_act; USA, Virginia,Warrenton;Biography,Drama,Romance;English;J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life.;United States
tt1790736;Inception: The Cobol Job;2010;7.5;/title/tt1790736/?ref_=nm_flmg_t_12_act;;Animation,Short,Action;English;This Inception prequel unfolds courtesy of a beautiful Motion Comic, and explains how Cobb, Arthur and Nash were enlisted by Cobol Engineering. Diehard fans of the film will be especially interested in this one.;United States
tt1375666;Inception;2010;8.8;/title/tt1375666/?ref_=nm_flmg_t_13_act; Canada, Alberta,Fortress Mountain  Kananaskis Country;Action,Adventure,Sci-Fi;English;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.;United States
tt1130884;Shutter Island;2010;8.2;/title/tt1130884/?ref_=nm_flmg_t_14_act; USA, Massachusetts, Boston Harbor  Boston;Mystery,Thriller;English;Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.;United States
tt0959337;Les noces rebelles;2008;7.3;/title/tt0959337/?ref_=nm_flmg_t_15_act; USA, Connecticut,Pinewood Lake  Trumbull;Drama,Romance;English;A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.;United Kingdom
tt13623148;Je s'appelle Groot;2022–2023;6.7;/title/tt13623148/?ref_=nm_flmg_t_1_act;;Animation,Short,Action;English;A series of shorts featuring the seedling Groot along with several new and unusual characters.;United States
tt5535276;Maestro;2023;6.9;/title/tt5535276/?ref_=nm_flmg_t_2_act; USA, Massachusetts,Tanglewood  Lenox;Biography,Drama,Music;English;This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein.;United States
tt2906216;Donjons & Dragons : L'Honneur des voleurs;2023;7.3;/title/tt2906216/?ref_=nm_flmg_t_4_act;;Action,Adventure,Comedy;English;A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.;United States
tt7740496;Nightmare Alley;2021;7.0;/title/tt7740496/?ref_=nm_flmg_t_7_act; USA, New York,Buffalo;Crime,Drama,Thriller;English;A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.;United States
tt11271038;Licorice Pizza;2021;7.1;/title/tt11271038/?ref_=nm_flmg_t_8_act; USA, California, Sherman Oaks  Los Angeles;Comedy,Drama,Romance;English;The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.;United States
tt7959026;La mule;2018;7.0;/title/tt7959026/?ref_=nm_flmg_t_10_act; USA, Georgia,Shaw's Sunshine Gardens - 3096 Lumpkin Park Drive  Augusta;Crime,Drama,Thriller;English;A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.;United States
tt1517451;A Star is Born;2018;7.6;/title/tt1517451/?ref_=nm_flmg_t_11_act; UK, England, Pilton  Somerset;Drama,Music,Romance;English;A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.;United States
tt4154756;Avengers: Infinity War;2018;8.4;/title/tt4154756/?ref_=nm_flmg_t_12_act; UK, Scotland, Edinburgh  City of Edinburgh;Action,Adventure,Sci-Fi;English;The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.;United States
tt7134278;Disneyland Resort: Guardians of the Galaxy - Mission Breakout!;2017;8.2;/title/tt7134278/?ref_=nm_flmg_t_13_act;;Short,Action,Adventure;English;After destroying Peter's maniacal father Ego, the Guardians of the Galaxy are caught by the Collector when he finds out that they are responsible for;United States
tt3896198;Les Gardiens de la Galaxie Vol. 2;2017;7.6;/title/tt3896198/?ref_=nm_flmg_t_14_act; USA, Georgia,Cartersville;Action,Adventure,Comedy;English;The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.;United States
tt2005151;War Dogs;2016;7.1;/title/tt2005151/?ref_=nm_flmg_t_15_act;;Biography,Comedy,Crime;English;Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.;United States
tt29873351;Ark: Survival Ascended;2023;;/title/tt29873351/?ref_=nm_flmg_t_1_act;;Adventure;English;;United States
tt27793374;J Balvin: Toretto;2023;4.2;/title/tt27793374/?ref_=nm_flmg_t_3_act;;Music;Spanish;;United States
