ID;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL;
nm0000801;Olivier Assayas;January 25 1955 ;Paris, France ;/name/nm0000801/?ref_=tt_ov_dr;
nm0500976;Gilles Lellouche;July 5 1972 ;Savigny-sur-Orge, Essonne, France ;/name/nm0500976/?ref_=tt_ov_dr;
nm0137228;Christian Carion;January 4 1963 ;Cambrai, Nord, France ;/name/nm0137228/?ref_=tt_ov_dr;
nm0860019;Danièle Thompson;January 3 1942 ;Monaco ;/name/nm0860019/?ref_=tt_ov_dr;
nm0357453;John Hamburg;May 26 1970 ;New York City, New York, USA ;/name/nm0357453/?ref_=tt_ov_dr;
nm6793979;Rosalind Ross;;;/name/nm6793979/?ref_=tt_ov_dr;
nm0281508;Ruben Fleischer;October 31 1974 ;Washington, District of Columbia, USA ;/name/nm0281508/?ref_=tt_ov_dr;
nm0298807;Antoine Fuqua;May 30 1965 ;Pittsburgh, Pennsylvania, USA ;/name/nm0298807/?ref_=tt_ov_dr;
nm9587343;Joyner Lucas;;;/name/nm9587343/?ref_=tt_ov_dr;
nm4042952;Ben Proulx;;;/name/nm4042952/?ref_=tt_ov_dr;
nm3232264;Reinaldo Marcus Green;December 16 1981 ;Bronx, New York, USA ;/name/nm3232264/?ref_=tt_ov_dr;
nm0148999;Tony Cervone;November 15 1966 ;Melrose Park, Illinois, USA ;/name/nm0148999/?ref_=tt_ov_dr;
nm0000916;Peter Berg;March 11 1964 ;New York City, New York, USA ;/name/nm0000916/?ref_=tt_ov_dr;
nm1890845;Sean Anders;;;/name/nm1890845/?ref_=tt_ov_dr;
nm0000631;Ridley Scott;November 30 1937 ;South Shields, County Durham, England, UK ;/name/nm0000631/?ref_=tt_ov_dr;
nm0000881;Michael Bay;February 17 1965 ;Los Angeles, California, USA ;/name/nm0000881/?ref_=tt_ov_dr;
nm0001054;Joel Coen;November 29 1954 ;Minneapolis, Minnesota, USA ;/name/nm0001054/?ref_=tt_ov_dr;
nm0359387;John Lee Hancock;December 15 1956 ;Longview, Texas, USA ;/name/nm0359387/?ref_=tt_ov_dr;
nm0319659;Dan Gilroy;June 24 1959 ;Santa Monica, California, USA ;/name/nm0319659/?ref_=tt_ov_dr;
nm0000243;Denzel Washington;December 28 1954 ;Mount Vernon, New York, USA ;/name/nm0000243/?ref_=tt_ov_dr;
nm0466349;Baltasar Kormákur;February 27 1966 ;Reykjavik, Iceland ;/name/nm0466349/?ref_=tt_ov_dr;
nm1174251;Daniel Espinosa;March 23 1977 ;Huddinge, Stockholms län, Sweden ;/name/nm1174251/?ref_=tt_ov_dr;
nm0001716;Tony Scott;June 21 1944 ;North Shields, Northumberland, England, UK ;/name/nm0001716/?ref_=tt_ov_dr;
nm0400436;Albert Hughes;April 1 1972 ;Detroit, Michigan, USA ;/name/nm0400436/?ref_=tt_ov_dr;
nm0400441;Allen Hughes;April 1 1972 ;Detroit, Michigan, USA ;/name/nm0400441/?ref_=tt_ov_dr;
nm0001402;Terry Jones;February 1 1942 ;Colwyn Bay, Wales, UK ;/name/nm0001402/?ref_=tt_ov_dr;
nm0506613;Shawn Levy;July 23 1968 ;Montreal, Quebec, Canada ;/name/nm0506613/?ref_=tt_ov_dr;
nm0788426;Tristram Shapeero;1966 ;Bath, Somerset, England, UK ;/name/nm0788426/?ref_=tt_ov_dr;
nm0004675;Phil Alden Robinson;March 1 1950 ;Long Beach, Long Island, New York, USA ;/name/nm0004675/?ref_=tt_ov_dr;
nm1996918;Dito Montiel;July 26 1965 ;New York City, New York, USA ;/name/nm1996918/?ref_=tt_ov_dr;
nm1242062;Arie Posin;;;/name/nm1242062/?ref_=tt_ov_dr;
nm0200005;Lee Daniels;December 24 1959 ;Philadelphia, Pennsylvania, USA ;/name/nm0200005/?ref_=tt_ov_dr;
nm0951698;Justin Zackham;;;/name/nm0951698/?ref_=tt_ov_dr;
nm0004306;George Miller;March 3 1945 ;Chinchilla, Queensland, Australia ;/name/nm0004306/?ref_=tt_ov_dr;
nm0248495;Gary Eck;;;/name/nm0248495/?ref_=tt_ov_dr;
nm1668276;David Peers;;;/name/nm1668276/?ref_=tt_ov_dr;
nm0065608;Walt Becker;September 16 1968 ;Hollywood, California, USA ;/name/nm0065608/?ref_=tt_ov_dr;
nm1897760;Jesse Atlas;;;/name/nm1897760/?ref_=tt_ov_dr;
nm4864836;Edward Drake;;;/name/nm4864836/?ref_=tt_ov_dr;
nm0751080;Chuck Russell;May 9 1958 ;Park Ridge, Illinois, USA ;/name/nm0751080/?ref_=tt_ov_dr;
